component,eigenvalue,pct_variance,parallel_95pct
1,14.946,26.85,3.332
2,6.362,11.43,3.013
3,3.613,6.49,2.829
4,2.686,4.83,2.654
5,2.389,4.29,2.517
6,1.949,3.5,2.387
7,1.728,3.1,2.28
8,1.571,2.82,2.161
9,1.48,2.66,2.065
10,1.329,2.39,1.973
11,1.203,2.16,1.886
12,1.089,1.96,1.797
13,1.038,1.86,1.72
14,1.003,1.8,1.647
15,0.931,1.67,1.569
16,0.891,1.6,1.505
17,0.795,1.43,1.44
18,0.76,1.37,1.372
19,0.67,1.2,1.305
20,0.643,1.15,1.244
21,0.624,1.12,1.189
22,0.558,1.0,1.135
23,0.549,0.99,1.078
24,0.525,0.94,1.028
25,0.493,0.89,0.972
26,0.47,0.84,0.929
27,0.442,0.79,0.88
28,0.424,0.76,0.837
29,0.409,0.73,0.792
30,0.387,0.7,0.75
31,0.33,0.59,0.708
32,0.317,0.57,0.673
33,0.295,0.53,0.634
34,0.277,0.5,0.596
35,0.262,0.47,0.557
36,0.236,0.42,0.521
37,0.214,0.39,0.489
38,0.197,0.35,0.458
39,0.188,0.34,0.421
40,0.168,0.3,0.394
41,0.167,0.3,0.366
42,0.145,0.26,0.339
43,0.134,0.24,0.312
44,0.119,0.21,0.285
45,0.111,0.2,0.259
46,0.1,0.18,0.237
47,0.082,0.15,0.213
48,0.076,0.14,0.192
49,0.066,0.12,0.171
50,0.057,0.1,0.151
51,0.048,0.09,0.131
52,0.045,0.08,0.113
53,0.031,0.06,0.095
54,0.02,0.04,0.076
55,0.019,0.03,0.061
